date,SA4_code,Total Total Statistical Area Level 4,Total selected
2011,101,25714,25714
2011,102,43785,43785
2011,103,14234,14234
2011,104,14002,14002
2011,105,5939,5939
2011,106,20164,20164
2011,107,56004,56004
2011,108,18994,18994
2011,109,8825,8825
2011,110,10767,10767
2011,111,37255,37255
2011,112,28384,28384
2011,113,13008,13008
2011,114,18471,18471
2011,115,61502,61502
2011,116,114348,114348
2011,117,107836,107836
2011,118,91693,91693
2011,119,221410,221410
2011,120,105432,105432
2011,121,135305,135305
2011,122,65829,65829
2011,123,53852,53852
2011,124,53992,53992
2011,125,182074,182074
2011,126,65358,65358
2011,127,164743,164743
2011,128,36458,36458
2011,197,46,46
2011,199,3121,3121
2011,201,13702,13702
2011,202,11425,11425
2011,203,37976,37976
2011,204,15561,15561
2011,205,30726,30726
2011,206,166286,166286
2011,207,112882,112882
2011,208,109734,109734
2011,209,121612,121612
2011,210,97509,97509
2011,211,110343,110343
2011,212,264696,264696
2011,213,223036,223036
2011,214,53858,53858
2011,215,12361,12361
2011,216,12762,12762
2011,217,8621,8621
2011,297,16,16
2011,299,2231,2231
2011,301,47566,47566
2011,302,42129,42129
2011,303,106044,106044
2011,304,47080,47080
2011,305,59665,59665
2011,306,40827,40827
2011,307,9080,9080
2011,308,21562,21562
2011,309,141112,141112
2011,310,60319,60319
2011,311,73991,73991
2011,312,19911,19911
2011,313,39028,39028
2011,314,33348,33348
2011,315,7419,7419
2011,316,60779,60779
2011,317,15953,15953
2011,318,26587,26587
2011,319,32804,32804
2011,397,113,113
2011,399,3317,3317
2011,401,72406,72406
2011,402,100136,100136
2011,403,77565,77565
2011,404,60830,60830
2011,405,10465,10465
2011,406,9413,9413
2011,407,21512,21512
2011,497,3,3
2011,499,668,668
2011,501,29267,29267
2011,502,20159,20159
2011,503,54761,54761
2011,504,69943,69943
2011,505,181723,181723
2011,506,157968,157968
2011,507,113373,113373
2011,508,36763,36763
2011,509,21863,21863
2011,597,115,115
2011,599,2285,2285
2011,601,27955,27955
2011,602,15597,15597
2011,603,4257,4257
2011,604,9635,9635
2011,697,24,24
2011,699,185,185
2011,701,26128,26128
2011,702,8561,8561
2011,797,33,33
2011,799,455,455
2011,801,86164,86164
2011,897,0,0
2011,899,160,160
2011,901,1256,1256
2011,997,0,0
2011,999,9,9
