Uni, Yr_12, emppoprati, NAME_2006, Cert, median06, SSC2006
0.413536,0.407107,0.718433,"Abbotsford",0.179357,49348.80924,21003
0.354051,0.381243,0.786467,"Aberfeldie",0.264706,50460.93747,21005
0.1372,0.580033,0.677339,"Airport West",0.282766,36267.10887,21007
0.072877,0.738276,0.55284,"Albanvale",0.188847,25592.26633,21009
0.468774,0.350666,0.756665,"Albert Park",0.180559,63402.44694,21011
0.186829,0.622139,0.564629,"Albion",0.191032,27827.3442,21013
0.496536,0.324865,0.786564,"Alphington",0.178599,51312.64272,21015
0.199328,0.51997,0.683414,"Altona",0.280702,38029.16884,21017
0.136666,0.610825,0.684798,"Altona Meadows",0.252509,35261.83113,21019
0.112417,0.691754,0.553785,"Altona North",0.195829,27521.33637,21021
0.09071,0.681785,0.530702,"Ardeer",0.227505,25916.86863,21023
0.478777,0.344626,0.745819,"Armadale",0.176597,58030.28238,21025
0.297521,0.347107,0.0,"Arthurs Seat",0.355372,36065.61967,21027
0.329151,0.46332,0.687018,"Ascot Vale",0.207529,45491.61361,21029
0.442046,0.344524,0.747531,"Ashburton",0.213429,49962.67295,21031
0.359214,0.406894,0.718659,"Ashwood",0.233892,41519.91156,21033
0.256772,0.447799,0.755788,"Aspendale",0.295429,43991.31472,21035
0.202923,0.495222,0.76895,"Aspendale Gardens",0.301855,42255.28225,21037
0.139506,0.554938,0.771129,"Attwood",0.305556,40650.6273,21039
0.184846,0.592173,0.646,"Avondale Heights",0.222981,32839.61813,21041
0.402519,0.379124,0.725225,"Balaclava",0.218356,48121.37236,21043
0.225922,0.453032,0.747909,"Balnarring",0.321046,38211.70854,21045
0.301587,0.325397,0.0,"Balnarring Beach",0.373016,40939.73951,21047
0.484381,0.309451,0.740426,"Balwyn",0.206168,51827.83791,21049
0.467451,0.327943,0.751637,"Balwyn North",0.204606,49820.79728,21051
0.0,0.810427,0.0,"Bangholme",0.189573,19700.10653,21053
0.072677,0.630175,0.71809,"Baxter",0.297148,34018.48934,21055
0.136326,0.560875,0.718072,"Bayswater",0.302799,35855.17794,21057
0.117423,0.563089,0.728395,"Bayswater North",0.319488,36767.50259,21059
0.134569,0.518284,0.775281,"Beaconsfield",0.347148,42852.50988,21061
0.383518,0.351823,0.767549,"Beaumaris",0.264659,54784.99463,21063
0.229501,0.460693,0.752216,"Belgrave",0.309806,40378.88877,21065
0.184371,0.443223,0.772338,"Belgrave Heights",0.372405,40825.05433,21067
0.191901,0.424296,0.773286,"Belgrave South",0.383803,38592.94107,21069
0.190632,0.6122,0.561269,"Bellfield (Greater Melbourne)",0.197168,26726.9699,21071
0.349317,0.397912,0.752642,"Bentleigh",0.252771,45266.43844,21073
0.283412,0.433639,0.752623,"Bentleigh East",0.282949,42465.11295,21075
0.166959,0.50892,0.773388,"Berwick",0.324121,43715.37817,21077
0.097064,0.559017,0.710605,"Bittern",0.343919,36490.00533,21079
0.391588,0.353766,0.759518,"Black Rock",0.254646,54716.44067,21081
0.42736,0.32464,0.780281,"Blackburn",0.248,49526.73183,21083
0.313233,0.414294,0.737179,"Blackburn North",0.272473,39792.88778,21085
0.327001,0.412871,0.748982,"Blackburn South",0.260128,42603.45174,21087
0.166667,0.504433,0.630222,"Blairgowrie",0.328901,32384.40389,21089
0.159958,0.537821,0.707249,"Bonbeach",0.302221,39083.15577,21091
0.132106,0.547547,0.72889,"Boronia",0.320347,36739.22783,21093
0.408309,0.364083,0.691603,"Box Hill",0.227608,36497.23053,21095
0.367264,0.392053,0.732642,"Box Hill North",0.240682,39533.62609,21097
0.393559,0.361089,0.754115,"Box Hill South",0.245352,44677.00923,21099
0.0,0.0,0.0,"Braeside",0.0,108317.2784,21101
0.12066,0.737906,0.457989,"Braybrook",0.141434,20751.26523,21103
0.236229,0.438387,0.767349,"Briar Hill",0.325383,42658.71975,21105
0.461538,0.337179,0.736543,"Brighton",0.201282,62968.8913,21107
0.427118,0.347367,0.760366,"Brighton East",0.225515,54370.88793,21109
0.061943,0.780816,0.422503,"Broadmeadows",0.157241,20151.21406,21111
0.122931,0.669031,0.613663,"Brooklyn",0.208038,31690.66911,21113
0.453637,0.382834,0.708685,"Brunswick",0.163529,41956.40806,21115
0.454311,0.373659,0.719656,"Brunswick East",0.172029,43977.6545,21117
0.39119,0.417371,0.703616,"Brunswick West",0.191439,40809.01838,21119
0.302634,0.453406,0.718568,"Bulleen",0.24396,38961.42028,21121
0.193719,0.54841,0.68228,"Bundoora",0.257872,35369.38354,21123
