date,SA4_code,Persons Total Statistical Area Level 4,Total selected
2011,101,207822,207822
2011,102,312183,312183
2011,103,196742,196742
2011,104,130603,130603
2011,105,113590,113590
2011,106,243247,243247
2011,107,275982,275982
2011,108,201109,201109
2011,109,110317,110317
2011,110,176195,176195
2011,111,342605,342605
2011,112,227619,227619
2011,113,150120,150120
2011,114,137005,137005
2011,115,210413,210413
2011,116,303529,303529
2011,117,264544,264544
2011,118,249546,249546
2011,119,523609,523609
2011,120,263561,263561
2011,121,374663,374663
2011,122,237641,237641
2011,123,235803,235803
2011,124,288189,288189
2011,125,394709,394709
2011,126,162844,162844
2011,127,360168,360168
2011,128,210267,210267
2011,197,112,112
2011,199,12919,12919
2011,201,146233,146233
2011,202,140695,140695
2011,203,250652,250652
2011,204,159294,159294
2011,205,255859,255859
2011,206,501990,501990
2011,207,340003,340003
2011,208,378216,378216
2011,209,437046,437046
2011,210,318483,318483
2011,211,479103,479103
2011,212,658016,658016
2011,213,616058,616058
2011,214,271065,271065
2011,215,147428,147428
2011,216,124894,124894
2011,217,120661,120661
2011,297,39,39
2011,299,8304,8304
2011,301,211434,211434
2011,302,191050,191050
2011,303,314089,314089
2011,304,170351,170351
2011,305,223975,223975
2011,306,224435,224435
2011,307,122272,122272
2011,308,211345,211345
2011,309,507642,507642
2011,310,281788,281788
2011,311,290430,290430
2011,312,166811,166811
2011,313,215455,215455
2011,314,167429,167429
2011,315,82923,82923
2011,316,306908,306908
2011,317,140223,140223
2011,318,217895,217895
2011,319,273266,273266
2011,397,472,472
2011,399,12544,12544
2011,401,277065,277065
2011,402,391643,391643
2011,403,339873,339873
2011,404,216653,216653
2011,405,106520,106520
2011,406,84621,84621
2011,407,177121,177121
2011,497,8,8
2011,499,3065,3065
2011,501,158104,158104
2011,502,83295,83295
2011,503,156351,156351
2011,504,219896,219896
2011,505,482954,482954
2011,506,433626,433626
2011,507,352747,352747
2011,508,215048,215048
2011,509,129438,129438
2011,597,415,415
2011,599,7297,7297
2011,601,211655,211655
2011,602,137558,137558
2011,603,35799,35799
2011,604,109152,109152
2011,697,115,115
2011,699,1072,1072
2011,701,120584,120584
2011,702,89378,89378
2011,797,110,110
2011,799,1871,1871
2011,801,356584,356584
2011,897,3,3
2011,899,631,631
2011,901,3002,3002
2011,997,3,3
2011,999,24,24
