ma_shop_n, metroarian, ma_ptrans, ucl_code, ma_edu, ucl_name, metroariac, ma_shop, ma_edu_n, ma_hlth_n, ma_hlth, ma_ptransn, ma_fpost_n, ma_fpost, sa1no
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110501"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110502"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110503"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110504"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110505"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110506"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110507"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110508"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110509"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110510"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110511"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110512"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110513"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110514"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110515"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110516"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110517"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110518"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110519"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110520"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110521"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110522"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110523"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110524"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110525"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110526"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110527"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110528"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110529"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110530"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110531"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110532"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110533"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110534"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110535"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110536"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110537"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110538"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110539"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110540"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110541"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110542"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110543"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110544"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110545"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110546"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110547"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110548"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110549"
"Very High Accessibility","Very High Accessibility",3,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Moderate Accessibility","Very High Accessibility",1,"20601110550"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110601"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110602"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110603"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110604"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110605"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110606"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110607"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110608"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110609"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110610"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110611"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110612"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110613"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110614"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110615"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110616"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110617"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110618"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110619"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110701"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110702"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110703"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110704"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110705"
