fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, postcode, facility_id, facilityage, streettype, changerooms, longitude, latitude, objectid, faciltysportplayedid, suburbtown, lga, streetname
null,null,"BMX","Lilydale BMX Club",null,null,null,null,"YARRAC5444",null,"Street",null,145.35670599995,-37.7481569988831,9060,27698,"LILYDALE","YARRA RANGES","Anderson"
null,"115","Fitness / Gymnasium Workouts","Nitro Gym",1,null,null,3137,"YARRAR11444",null,"Road",null,145.259467000403,-38.0053919988504,9289,18548,"KILSYTH","CASEY","Canterbury"
null,null,"Tennis (Outdoor)","Minak Reserve",4,"3. Average","6 - 10 Years",3159,"YARRAR11484","26 - 50 Years","Road",null,145.37278100054,-37.9125899990689,9374,18634,"SELBY","YARRA RANGES","Wombalana"
"18 Hole Course - Public",null,"Golf","Baker Golf Club",1,null,null,3418,"HINDMA9612",null,"Road",null,141.586894999488,-36.0746149995223,3856,26012,"BAKER","HINDMARSH","Baker"
null,null,"Equestrian","Truganina Club Grounds",null,null,null,3029,"HOBSON11346",null,"Road",null,144.721687999976,-37.8224829992994,3952,26854,"TRUGANINA","WYNDHAM","Woods"
"Turf Pitch",null,"Cricket","Binnak Park",1,null,null,3083,"BANYUL12800",null,"Parade",null,145.080914999471,-37.697331998711,387,21290,"BUNDOORA","BANYULE","Anderson"
null,null,"Sailing","Cowes Yacht Club",null,null,null,3922,"BASSCO11215",null,"Avenue",null,145.233400000018,-38.4490209991763,554,26756,"COWES","BASS COAST","Osborne"
null,null,"Gymnastics","Benalla Gymnastics Club",null,null,null,3672,"BENALL11446",null,"Street",null,145.96304699999,-36.5550879987529,926,27306,"BENALLA","BENALLA","Bridge"
null,null,"Cycling","Beechworth Mtb Park",null,null,null,null,"INDIGO5415",null,null,null,146.700869000294,-36.3425769987709,4302,27671,null,"INDIGO",null
"Synthetic Pitch",null,"Cricket","George Woods Reserve",1,null,null,3195,"KINGST10946",null,"Road",null,145.09837899999,-38.0092119993734,4383,25460,"MORDIALLOC","KINGSTON","Governor"
null,"52","Gymnastics","Cheltnam Youth Club",null,null,null,3195,"KINGST11451",null,"Drive",null,145.114715999686,-37.9897699990324,4433,27332,"BRAESIDE","KINGSTON","Tarnard"
null,null,"Carpet Bowls","James Boyle Hall",null,"3. Average","N/A",3537,"LODDON12598","26 - 50 Years","Street",null,143.72782800014,-36.1169999993787,4910,20919,"BOORT","LODDON","Godfrey"
null,null,"Gymnastics","Moyhu and District youth Club",null,null,null,3732,"WANGAR11494",null,"Street",null,146.366315000527,-36.5769989993562,8190,27370,"MOYHU","WANGARATTA","Bartley"
null,null,"Polocrosse","Sale Polocrosse",null,null,null,3850,"WELLIN11047",null,null,null,147.023380000059,-38.1127369995098,8461,24647,"WURRUK","WELLINGTON",null
"Asphalt",null,"Tennis (Outdoor)","High School Reserve",4,null,null,3860,"WELLIN11008",null,"Street",null,146.981748999993,-37.9630969993536,8488,24571,"MAFFRA","WELLINGTON","King"
"Wooden Gymnasium","221","Badminton","Deakin YMCA",2,null,null,3125,"WHITEH11007",null,"Hwy",null,145.116445999725,-37.8469499992008,8574,25074,"BURWOOD","WHITEHORSE","Burwood"
"Hard Court",null,"Tennis (Outdoor)","Eley Park",8,"3. Average","11 + Years",3151,"WHITEH11009","26 - 50 Years","Road","Female, Male",145.143021999899,-37.8463089991135,8689,25086,"BURWOOD EAST","WHITEHORSE","Eley"
null,null,"Canoeing","Gatway Lakes",null,null,null,3690,"WODONG11111",null,"Road",null,146.821880999823,-36.1110499993146,8849,17736,"WODONGA","WODONGA","Lemke"
null,null,"Cricket","Raywood Oval",1,null,null,3570,"GREATE8709",null,"Street",null,144.204117000058,-36.5328319987438,1019,24208,"RAYWOOD","GREATER BENDIGO","MacAuley"
"Grass",null,"Baseball","Marshall Reserve",1,null,null,3166,"MONASH12036",null,"Road",null,145.138854000283,-37.912046999323,6094,19780,"HUNTINGDALE","MONASH","Ring East"
null,"9","Karate","Keenan karate Centre",1,null,null,3149,"MONASH12031",null,"Road",null,145.114414999907,-37.8563989986846,6182,19771,"MT WAVERLEY","MONASH","Barlyn"
null,"507-515","Squash / Racquetball","Fitzys Gym",null,null,null,3055,"MORELA13022",null,"Street",null,144.945367000411,-37.7649359990146,6548,21862,"BRUNSWICK WEST","MORELAND","Victoria"
"Grass","1562","Baseball","Tyabb Central Reserve",1,null,null,3913,"MORNIN11204",null,"Road",null,145.188857000283,-38.2621929989547,6599,18266,"TYABB","MORNINGTON PENINSULA","Frankston-Flinders"
"Road",null,"Cycling","Somers Circuit",1,null,null,null,"MORNIN5311",null,"Road",null,145.165860000389,-38.3891729993849,6645,27559,null,"MORNINGTON PENINSULA","Camphill"
null,null,"Sailing","Cairn Curran Sailing",null,null,null,3463,"MOUNTA12691",null,"Reserve",null,143.974075999909,-36.9944209987991,6854,21087,"BARINGHUP","MOUNT ALEXANDER","Cairn Curran"
"Outdoor Velodrome",null,"Cycling","Stawell Velodrome",1,null,null,3400,"NORTHE5129",null,"Street",null,142.205972000339,-36.7186309987974,7156,27294,"STAWELL","HORSHAM","McBryde"
null,null,"BMX","S-cape Regional Skate Park",null,null,null,3630,"GREATE12144",null,"Parade",null,145.397197000551,-36.3870889991409,7357,23666,"SHEPPARTON","GREATER SHEPPARTON","Trevaskis"
null,"19",null,"Anglesea Bowls Club",null,null,null,3230,"SURFCO11855",null,"Road",null,144.19123600055,-38.405952999332,7892,19451,"ANGLESEA","SURF COAST","Cameron"
null,null,"Motor Cycling","Colac Motocycle Club",null,null,null,null,"COLACO5121",null,"Road",null,143.630268999818,-38.4426599991534,2257,27286,"BARONGAROOK","COLAC OTWAY","Gold Hole"
"Grass",null,"Lawn Bowls","Simpson Bowls Club",1,null,null,3266,"CORANG12772",null,"Street",null,143.208746999427,-38.4975549994953,2367,21238,"SIMPSON??","CORANGAMITE","Murrock"
null,null,"Cycling","Wombat Track",null,null,null,null,"MACEDO5423",null,null,null,144.479613000026,-37.4266159989192,5027,27679,null,"MACEDON RANGES",null
null,null,"Equestrian","Buck Reserve",null,null,null,3111,"MANNIN11361",null,"Road",null,145.186757000266,-37.7664919989868,5152,26888,"DONVALE","MANNINGHAM","Reynolds"
null,"5-15","Fitness / Gymnasium Workouts","Contours Croydon",null,null,null,3136,"MAROON11005",null,"Avenue",null,145.277688999931,-37.79358199889,5434,23181,"CROYDON","MAROONDAH","Kent"
"Synthetic",null,"Basketball","Eynesbury Tennis Centre",1,null,null,3338,"MELTON10915",null,"Road",null,144.562904999527,-37.7672399991982,5638,24724,"EYNESBURY","MELTON","Eynesbury"
null,"65","Volleyball","Melton Indoor Sports Stadium",null,null,null,3337,"MELTON9071",null,"Road",null,144.5678269996,-37.6814989989577,5730,24793,"MELTON","MELTON","Reserve"
